Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net P&L,SL,TP,Order ID,Mode,Portfolio,Notes
2026-05-10,18:49:15,BitGet,LINKUSDT,LONG,24,10.79,5.18,0.2590,OPEN,,,1437442652168138755,LIVE,synapse_t,"Ulaz LONG po 10.79"
2026-05-10,20:32:39,BitGet,LINKUSDT,CLOSE_LONG,24,10.679,5.18,0.2563,-3.1793,,,1437442652168138755-CLOSE,LIVE,synapse_t,"LOSS: -3.1793 USDT | Ulaz 10.79 → Izlaz 10.679"
2026-05-10,18:49:19,BitGet,XRPUSDT,LONG,176,1.4881,5.24,0.2619,OPEN,,,1437442671180918786,LIVE,synapse_t,"Ulaz LONG po 1.4881"
2026-05-10,20:16:11,BitGet,XRPUSDT,CLOSE_LONG,176,1.4727,5.24,0.2592,-3.2315,,,1437442671180918786-CLOSE,LIVE,synapse_t,"LOSS: -3.2315 USDT | Ulaz 1.4881 → Izlaz 1.4727"
2026-05-10,18:49:24,BitGet,BNBUSDT,LONG,0.39,661.15,5.16,0.2578,OPEN,,,1437442690202087428,LIVE,synapse_t,"Ulaz LONG po 661.15"
2026-05-10,20:44:32,BitGet,BNBUSDT,CLOSE_LONG,0.39,654.47,5.16,0.2552,-3.1183,,,1437442690202087428-CLOSE,LIVE,synapse_t,"LOSS: -3.1183 USDT | Ulaz 661.15 → Izlaz 654.47"
2026-05-10,18:49:28,BitGet,INJUSDT,LONG,59,4.354,5.14,0.2569,OPEN,,,1437442709206478851,LIVE,synapse_t,"Ulaz LONG po 4.354"
2026-05-10,20:16:03,BitGet,INJUSDT,CLOSE_LONG,59,4.308,5.14,0.2542,-3.2690,,,1437442709206478851-CLOSE,LIVE,synapse_t,"LOSS: -3.2690 USDT | Ulaz 4.354 → Izlaz 4.308"
2026-05-10,18:49:33,BitGet,APTUSDT,LONG,213.719,1.1933,5.10,0.2551,OPEN,,,1437442728206675971,LIVE,synapse_t,"Ulaz LONG po 1.1933"
2026-05-10,19:02:49,BitGet,APTUSDT,CLOSE_LONG,213.719,1.1803,5.10,0.2523,-3.3044,,,1437442728206675971-CLOSE,LIVE,synapse_t,"LOSS: -3.3044 USDT | Ulaz 1.1933 → Izlaz 1.1803"
2026-05-10,18:49:38,BitGet,DOTUSDT,LONG,178,1.411,5.02,0.2512,OPEN,,,1437442748263837699,LIVE,synapse_t,"Ulaz LONG po 1.411"
2026-05-10,20:16:24,BitGet,DOTUSDT,CLOSE_LONG,178,1.397,5.02,0.2487,-2.9918,,,1437442748263837699-CLOSE,LIVE,synapse_t,"LOSS: -2.9918 USDT | Ulaz 1.411 → Izlaz 1.397"
2026-05-10,18:49:42,BitGet,AVAXUSDT,LONG,23.9,10.418,4.98,0.2490,OPEN,,,1437442767289200641,LIVE,synapse_t,"Ulaz LONG po 10.418"
2026-05-10,20:30:21,BitGet,AVAXUSDT,CLOSE_LONG,23.9,10.308,4.98,0.2464,-3.1244,,,1437442767289200641-CLOSE,LIVE,synapse_t,"LOSS: -3.1244 USDT | Ulaz 10.418 → Izlaz 10.308"
2026-05-10,18:49:47,BitGet,FETUSDT,LONG,1016,0.243,4.94,0.2469,OPEN,,,1437442787459608579,LIVE,synapse_t,"Ulaz LONG po 0.243"
2026-05-10,19:29:00,BitGet,FETUSDT,CLOSE_LONG,1016,0.2479,4.94,0.2519,4.4796,,,1437442787459608579-CLOSE,LIVE,synapse_t,"WIN: +4.4796 USDT | Ulaz 0.243 → Izlaz 0.2479"
2026-05-10,18:49:52,BitGet,SEIUSDT,LONG,3191,0.07674,4.90,0.2449,OPEN,,,1437442806627577859,LIVE,synapse_t,"Ulaz LONG po 0.07674"
2026-05-10,19:17:22,BitGet,SEIUSDT,CLOSE_LONG,3191,0.07821,4.90,0.2496,4.2216,,,1437442806627577859-CLOSE,LIVE,synapse_t,"WIN: +4.2216 USDT | Ulaz 0.07674 → Izlaz 0.07821"
2026-05-10,18:49:56,BitGet,ENAUSDT,LONG,1771,0.1368,4.85,0.2423,OPEN,,,1437442825690689536,LIVE,synapse_t,"Ulaz LONG po 0.1368"
2026-05-10,19:01:36,BitGet,ENAUSDT,CLOSE_LONG,1771,0.1354,4.85,0.2398,-2.9615,,,1437442825690689536-CLOSE,LIVE,synapse_t,"LOSS: -2.9615 USDT | Ulaz 0.1368 → Izlaz 0.1354"
2026-05-10,18:50:10,BitGet,DOGEUSDT,LONG,2159,0.11105,4.80,0.2398,OPEN,,,1437442882829692930,LIVE,synapse_t,"Ulaz LONG po 0.11105"
2026-05-10,20:31:23,BitGet,DOGEUSDT,CLOSE_LONG,2159,0.10981,4.80,0.2371,-3.1540,,,1437442882829692930-CLOSE,LIVE,synapse_t,"LOSS: -3.1540 USDT | Ulaz 0.11105 → Izlaz 0.10981"
2026-05-10,18:50:14,BitGet,SUIUSDT,LONG,172.6,1.3748,4.75,0.2373,OPEN,,,1437442901758586883,LIVE,synapse_t,"Ulaz LONG po 1.3748"
2026-05-10,19:02:41,BitGet,SUIUSDT,CLOSE_LONG,172.6,1.3578,4.75,0.2344,-3.3964,,,1437442901758586883-CLOSE,LIVE,synapse_t,"LOSS: -3.3964 USDT | Ulaz 1.3748 → Izlaz 1.3578"
2026-05-11,06:49:56,BitGet,HYPEUSDT,SHORT,5.82,41.916,4.88,0.2440,OPEN,,,1437624019023704067,LIVE,synapse_t,"Ulaz SHORT po 41.916"
2026-05-11,14:27:36,BitGet,HYPEUSDT,CLOSE_SHORT,5.82,41.053,4.88,0.2389,4.5296,,,1437624019023704067-CLOSE,LIVE,synapse_t,"WIN: +4.5296 USDT | Ulaz 41.916 → Izlaz 41.053"
2026-05-11,07:04:56,BitGet,APTUSDT,SHORT,216.179,1.1197,4.84,0.2421,OPEN,,,1437627793935052909,LIVE,synapse_t,"Ulaz SHORT po 1.1197"
2026-05-11,07:42:08,BitGet,APTUSDT,CLOSE_SHORT,216.179,1.1304,4.84,0.2444,-2.7941,,,1437627793935052909-CLOSE,LIVE,synapse_t,"LOSS: -2.7941 USDT | Ulaz 1.1197 → Izlaz 1.1304"
2026-05-11,09:05:56,BitGet,FETUSDT,LONG,1006,0.238,4.79,0.2394,OPEN,,,1437658245341261830,LIVE,synapse_t,"Ulaz LONG po 0.238"
2026-05-11,12:51:15,BitGet,FETUSDT,CLOSE_LONG,1006,0.2354,4.79,0.2368,-3.0918,,,1437658245341261830-CLOSE,LIVE,synapse_t,"LOSS: -3.0918 USDT | Ulaz 0.238 → Izlaz 0.2354"
2026-05-11,09:41:10,BitGet,NEARUSDT,LONG,76,1.5529,2.36,0.1180,OPEN,,,1437667109314899970,LIVE,synapse_t,"Ulaz LONG po 1.5529"
2026-05-11,13:17:57,BitGet,NEARUSDT,CLOSE_LONG,76,1.5233,2.36,0.1158,-2.4784,,,1437667109314899970-CLOSE,LIVE,synapse_t,"LOSS: -2.4784 USDT | Ulaz 1.5529 → Izlaz 1.5233"
2026-05-11,09:41:15,BitGet,SOLUSDT,SHORT,1.6,95.089,3.04,0.1521,OPEN,,,1437667132559732737,LIVE,synapse_t,"Ulaz SHORT po 95.089"
2026-05-11,15:55:26,BitGet,SOLUSDT,CLOSE_SHORT,1.6,96.486,3.04,0.1544,-2.5411,,,1437667132559732737-CLOSE,LIVE,synapse_t,"LOSS: -2.5411 USDT | Ulaz 95.089 → Izlaz 96.486"
2026-05-11,09:41:23,BitGet,SEIUSDT,SHORT,1253,0.07407,1.86,0.0928,OPEN,,,1437667165367578627,LIVE,synapse_t,"Ulaz SHORT po 0.07407"
2026-05-11,11:33:20,BitGet,SEIUSDT,CLOSE_SHORT,1253,0.07548,1.86,0.0946,-1.9490,,,1437667165367578627-CLOSE,LIVE,synapse_t,"LOSS: -1.9490 USDT | Ulaz 0.07407 → Izlaz 0.07548"
2026-05-11,14:31:56,BitGet,DOGEUSDT,SHORT,1017,0.10919,2.22,0.1110,OPEN,,,1437740282962128898,LIVE,synapse_t,"Ulaz SHORT po 0.10919"
2026-05-11,15:27:07,BitGet,DOGEUSDT,CLOSE_SHORT,1017,0.11127,2.22,0.1132,-2.3320,,,1437740282962128898-CLOSE,LIVE,synapse_t,"LOSS: -2.3320 USDT | Ulaz 0.10919 → Izlaz 0.11127"
